,Date,Open,High,Low,Close,Adj Close,Volume
0,"Mar 29, 2023","1,966.10","1,966.10","1,966.10","1,966.10","1,966.10",21
1,"Mar 28, 2023","1,972.40","1,972.40","1,972.40","1,972.40","1,972.40",21
2,"Mar 27, 2023","1,957.20","1,957.20","1,952.40","1,952.40","1,952.40",877
3,"Mar 24, 2023","1,991.70","1,995.40","1,982.10","1,982.10","1,982.10",19
4,"Mar 23, 2023","1,990.50","1,994.60","1,990.50","1,993.80","1,993.80",33
5,"Mar 22, 2023","1,946.80","1,974.00","1,946.80","1,946.80","1,946.80",50
6,"Mar 21, 2023","1,973.80","1,973.80","1,938.00","1,938.00","1,938.00",47
7,"Mar 20, 2023","1,988.30","2,003.90","1,968.90","1,979.20","1,979.20",389
8,"Mar 17, 2023","1,946.00","1,985.10","1,946.00","1,969.80","1,969.80",82
9,"Mar 16, 2023","1,909.90","1,931.70","1,909.90","1,919.00","1,919.00",394
10,"Mar 15, 2023","1,903.90","1,926.60","1,898.50","1,926.60","1,926.60",564
11,"Mar 14, 2023","1,912.20","1,912.20","1,901.10","1,906.20","1,906.20",107
12,"Mar 13, 2023","1,890.80","1,913.10","1,875.10","1,911.70","1,911.70",503
13,"Mar 10, 2023","1,852.30","1,868.50","1,852.00","1,862.00","1,862.00",248
14,"Mar 09, 2023","1,816.40","1,829.30","1,815.60","1,829.30","1,829.30",332
15,"Mar 08, 2023","1,811.60","1,812.90","1,811.50","1,812.70","1,812.70",75
16,"Mar 07, 2023","1,840.90","1,840.90","1,813.90","1,813.90","1,813.90",450
17,"Mar 06, 2023","1,853.30","1,853.80","1,844.20","1,847.90","1,847.90",5
18,"Mar 03, 2023","1,837.30","1,855.40","1,837.30","1,847.70","1,847.70",61
19,"Mar 02, 2023","1,830.00","1,836.30","1,830.00","1,833.50","1,833.50",154
20,"Mar 01, 2023","1,827.10","1,841.70","1,827.10","1,837.70","1,837.70",211
21,"Feb 28, 2023","1,808.10","1,830.00","1,808.10","1,828.90","1,828.90",618
22,"Feb 27, 2023","1,811.60","1,817.50","1,808.90","1,817.00","1,817.00",829
23,"Feb 24, 2023","1,808.80","1,808.80","1,808.80","1,808.80","1,808.80",404
24,"Feb 23, 2023","1,826.40","1,827.50","1,818.00","1,818.00","1,818.00",291
25,"Feb 22, 2023","1,835.70","1,836.20","1,825.10","1,832.00","1,832.00",278
26,"Feb 21, 2023","1,842.60","1,843.00","1,833.00","1,833.00","1,833.00",862
27,"Feb 17, 2023","1,827.40","1,842.20","1,818.40","1,840.40","1,840.40",35
28,"Feb 16, 2023","1,838.60","1,843.70","1,827.20","1,842.00","1,842.00",222
29,"Feb 15, 2023","1,842.00","1,842.00","1,828.20","1,834.20","1,834.20",368
30,"Feb 14, 2023","1,854.10","1,862.00","1,846.20","1,854.00","1,854.00",656
31,"Feb 13, 2023","1,859.00","1,861.00","1,850.00","1,851.90","1,851.90",569
32,"Feb 10, 2023","1,861.60","1,863.50","1,852.40","1,862.80","1,862.80",27
33,"Feb 09, 2023","1,875.30","1,884.60","1,859.80","1,866.20","1,866.20",223
34,"Feb 08, 2023","1,872.10","1,880.40","1,872.10","1,877.40","1,877.40",230
35,"Feb 07, 2023","1,870.00","1,875.70","1,868.00","1,871.70","1,871.70",297
36,"Feb 06, 2023","1,865.60","1,880.00","1,863.40","1,866.20","1,866.20",424
37,"Feb 03, 2023","1,912.40","1,917.00","1,861.50","1,862.90","1,862.90",992
38,"Feb 02, 2023","1,952.30","1,959.10","1,911.30","1,916.30","1,916.30",748
39,"Feb 01, 2023","1,927.20","1,955.00","1,922.00","1,927.80","1,927.80","2,290"
40,"Jan 31, 2023","1,923.00","1,930.40","1,900.60","1,929.50","1,929.50","1,910"
41,"Jan 30, 2023","1,928.30","1,933.60","1,920.30","1,922.90","1,922.90","27,220"
42,"Jan 27, 2023","1,928.60","1,928.60","1,928.60","1,928.60","1,928.60","150,902"
43,"Jan 26, 2023","1,936.60","1,937.10","1,927.10","1,929.10","1,929.10",131
44,"Jan 25, 2023","1,941.20","1,941.20","1,939.80","1,941.20","1,941.20",7
45,"Jan 24, 2023","1,931.80","1,936.80","1,931.80","1,933.90","1,933.90",201
46,"Jan 23, 2023","1,926.50","1,927.10","1,915.00","1,927.10","1,927.10",218
47,"Jan 20, 2023","1,922.10","1,928.50","1,921.40","1,926.40","1,926.40","1,346"
48,"Jan 19, 2023","1,922.10","1,931.80","1,922.10","1,922.10","1,922.10",371
49,"Jan 18, 2023","1,911.10","1,911.10","1,903.10","1,904.40","1,904.40","1,027"
